SN,Nama_Barang,Kode_Gudang,Deskripsi
48575443B46CD5B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B49334B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B47B36B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B478BFB6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B49B96B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B484A7B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
48575443B46A06B6,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)
4857544368A7CCAE,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
485754434C11BDAA,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
48575443550E11AB,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
48575443EB3622B0,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
48575443A30A31AA,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
48575443516153AA,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
485754438D6825AF,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
485754433C1A94B1,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
48575443870EDEA7,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
4857544381D165A7,ont huawey,DN/TRF-EMR/26/02623,HUAWEI-ONT HG8145V6 (DUAL BAND)/D
Z5193606230003096,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230002287,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230002527,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230001666,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230002762,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230007123,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230005190,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230001863,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230006151,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230001443,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230001960,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230003004,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230006726,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230006996,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230003389,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230002876,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230001520,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230001790,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230001929,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
Z5193606230002501,stb zte,DN/TRF-OMI/26/00573,STB-ZTE-ZXV10 (ATV OXYGEN)
ZCBCGHC05568,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
ZCBCGG301087,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
ZCBCGHC05456,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
ZCBCGG600569,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
ZCBCGHC03327,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
ZCBCGG303813,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
ZCBCGHC03775,stb fiberhome,DN/TRF-OMI/26/00535,STB-FIBER HOME-HG680-P-2GB RAM (AOSP OXYGEN)/D
