Waktu Scan,Nama Teknisi,Serial Number (SN),Nama Barang,Kabel Precon,No WO / Keterangan,Status Pemasangan Sore,Keterangan Tambahan Sore,Stok Dipotong
2026-06-24 02:31:52,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:32:30,RIO-ARI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:32:37,RIO-ARI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:32:44,RIO-ARI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-24 02:32:48,RIO-ARI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:36:26,RIO-ARI,ZTEGD82A3E17,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:36:34,RIO-ARI,485754436454DCA7,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:36:50,RIO-ARI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:37:02,RIO-ARI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:37:02,RIO-ARI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:37:12,RIO-ARI,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 300MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:37:29,TEDI-DODI-DANIEL,ZTEGDC6C8F46,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:37:37,TEDI-DODI-DANIEL,485754438211A8B2,ont huawey,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:37:54,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:38:01,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:38:01,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 2,Belum Dilaporkan ⏳,-,Belum
2026-06-25 01:38:01,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 175MTR,Roll 3,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:12:32,NADI-PARI,ZTEGDC6C955E,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:12:43,NADI-PARI,ZTEGD91407F5,ont zte,-,-,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:12:59,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 125MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
2026-06-25 02:13:06,TEDI-DODI-DANIEL,-,Kabel Precon,DTFIBER - CABLE PRECON SC/UPC-SC/APC - 225MTR,Roll 1,Belum Dilaporkan ⏳,-,Belum
